FrequencyThreshold, MaxTransactionSize, MinTransactionSize, NumClasses, NumThreads, NumTransactions, Skew, UseIndex, [P]CountItemByFreq, [P]GenerateCandidates, [P]IdentifyFrequents, [S]_GenerateDataset, [S]_IdentifyActive, [S]_total
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.822929, 3.39964, 1368.62, 71.6077, 0.071375, 1457.52
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.871631, 3.17471, 1367.71, 71.9269, 0.108993, 1456.69
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.848103, 3.40441, 1360.27, 71.3281, 0.073864, 1449.09
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.93555, 3.58493, 1365.05, 71.9639, 0.186205, 1455.95
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.73399, 3.58371, 1405.01, 72.2737, 0.091754, 1495.86
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.7017, 3.79325, 1379.1, 72.3552, 0.12094, 1470.25
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 3.04314, 5.05227, 1382.35, 71.9592, 0.103805, 1476.28
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 3.0164, 4.646, 1366.91, 72.0253, 0.102759, 1460.05
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 2.89532, 4.97484, 1372.38, 71.6946, 0.16585, 1465.29
----------------------------------------------------------------------------------------------------------
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.149692, 5.40457, 71.4888, 0.030961, 85.7099
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.12447, 5.29607, 71.6016, 0.019314, 85.5588
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.123485, 5.30538, 66.8309, 0.022571, 80.7276
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.169671, 5.02695, 71.0869, 0.022899, 84.9804
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.158753, 4.86575, 66.7276, 0.023127, 80.5572
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.198043, 4.90162, 71.3988, 0.036193, 85.2716
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.23878, 5.42362, 70.9564, 0.025205, 85.1672
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.233683, 5.01085, 71.6079, 0.022498, 85.4671
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.19672, 5.08525, 71.1208, 0.025098, 84.8801
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.43389, 5.41663, 71.3361, 0.027451, 85.9509
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.615051, 4.99146, 66.6323, 0.021972, 80.7716
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.514982, 5.10502, 71.5296, 0.021843, 85.7959
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 1.05693, 5.44392, 71.1765, 0.012873, 86.1167
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 0.79508, 5.28467, 71.4893, 0.028814, 86.2342
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 0.840576, 5.54135, 71.7444, 0.029318, 86.7037
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 1.68763, 6.24111, 71.3646, 0.023945, 88.0314
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 1.83727, 5.91736, 71.602, 0.027985, 87.9209
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 1.74667, 5.98077, 71.3645, 0.027675, 87.7446
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.72138, 6.98253, 71.5373, 0.019468, 89.8279
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.22751, 7.08142, 71.6586, 0.022318, 89.6097
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.27074, 6.75577, 70.9447, 0.019364, 88.4201
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 0.985029, 2.40964, 1661.32, 71.8889, 0.117438, 1749.84
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 0.976546, 2.7495, 1621.87, 67.4352, 0.091467, 1705.96
0.010000, 8, 1, 128, 1, 10000, 1.000000, 1, 1.00433, 2.73656, 1619.3, 72.1705, 0.102669, 1708.38
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.74848, 3.08109, 1398.9, 72.2226, 0.101482, 1487.97
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.778762, 2.7641, 1398.73, 71.93, 0.094952, 1487.21
0.010000, 8, 1, 128, 2, 10000, 1.000000, 1, 0.753229, 2.38357, 1391.54, 71.9231, 0.097136, 1479.64
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.859447, 3.65801, 1387.98, 71.8547, 0.068876, 1477.16
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.833009, 3.3325, 1367.21, 71.9356, 0.102043, 1456.73
0.010000, 8, 1, 128, 4, 10000, 1.000000, 1, 0.826394, 3.22001, 1373.22, 72.2251, 0.075593, 1462.62
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.75475, 3.34067, 1372.72, 71.6434, 0.067344, 1462.39
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.8883, 3.86182, 1367.07, 71.7942, 0.066901, 1457.9
0.010000, 8, 1, 128, 8, 10000, 1.000000, 1, 1.74621, 3.80983, 1403.06, 72.1394, 0.09282, 1493.87
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 2.86354, 5.13914, 1411.46, 71.9646, 0.119365, 1504.71
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 3.03543, 4.5438, 1376.18, 67.1022, 0.078039, 1463.94
0.010000, 8, 1, 128, 16, 10000, 1.000000, 1, 2.78567, 4.96549, 1373.94, 72.1962, 0.148145, 1467.16
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.13446, 5.36675, 71.6854, 0.02701, 85.8511
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.199351, 5.31714, 71.3601, 0.046249, 85.4351
0.010000, 8, 1, 128, 1, 10000, 0.100000, 1, 0.12853, 5.32277, 72.1515, 0.023848, 86.1992
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.187646, 4.85538, 71.1883, 0.023672, 84.8871
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.165249, 4.88856, 71.8495, 0.024032, 85.4749
0.010000, 8, 1, 128, 2, 10000, 0.100000, 1, 0.151895, 4.96671, 71.2103, 0.023098, 84.8923
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.192938, 5.06948, 71.1252, 0.024736, 85.1465
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.209077, 5.04655, 71.2035, 0.024043, 85.1367
0.010000, 8, 1, 128, 4, 10000, 0.100000, 1, 0.19584, 5.19307, 67.0345, 0.026314, 81.0718
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.596777, 5.2575, 71.2936, 0.029057, 85.7901
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.49943, 4.99675, 71.4347, 0.026336, 85.5132
0.010000, 8, 1, 128, 8, 10000, 0.100000, 1, 0.446408, 4.91266, 71.1896, 0.024936, 85.1982
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 0.909945, 5.48012, 71.3252, 0.026982, 86.475
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 0.850058, 5.46601, 71.8954, 0.022642, 86.6774
0.010000, 8, 1, 128, 16, 10000, 0.100000, 1, 0.861584, 5.54424, 71.0277, 0.022056, 86.0746
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 1.56907, 6.29071, 71.5878, 0.027124, 88.1524
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 1.66069, 5.99838, 70.9726, 0.034376, 87.1617
0.010000, 8, 1, 128, 32, 10000, 0.100000, 1, 2.15535, 5.92638, 71.4689, 0.027076, 88.3251
0.010000, 8, 1, 128, 48, 10000, 0.100000, 1, 2.67626, 6.65412, 71.6316, 0.023164, 89.7104
